LocalAuthorityID,BillNumber,DateIssued,EmployeeID,ClientsName,BriefDesc,BillStatus,DatePaid,EntryBy,EntryDate,AccountNumber,DetailAmount,,,
1,PF1906-94406,2019-06-13 10:58:00.830,859,KBQ583E,1-5241,2,2019-06-13 10:58:01.000,Mobile App,2019-06-13 10:58:00.923,15241,200.00,,,
1,PF1906-94407,2019-06-13 10:59:10.430,859,kcj243t,1-5241,2,2019-06-13 10:59:10.663,Mobile App,2019-06-13 10:59:10.523,15241,200.00,,,
1,PF1906-94408,2019-06-13 11:00:18.440,859,KCA774B,1-5241,2,2019-06-13 11:00:18.570,Mobile App,2019-06-13 11:00:18.523,15241,200.00,,,
1,PF1906-94409,2019-06-13 11:00:55.523,859,KBL616J,1-5241,2,2019-06-13 11:00:56.123,Mobile App,2019-06-13 11:00:55.867,15241,200.00,,,
1,PF1906-94410,2019-06-13 11:01:13.913,859,kcl936y,1-5241,2,2019-06-13 11:01:14.100,Mobile App,2019-06-13 11:01:14.007,15241,200.00,,,
1,PF1906-94411,2019-06-13 11:01:17.583,859,KBR647F,1-5241,2,2019-06-13 11:01:17.757,Mobile App,2019-06-13 11:01:17.680,15241,200.00,,,
1,PF1906-94412,2019-06-13 11:01:19.583,859,kbt092q,1-5241,2,2019-06-13 11:01:19.770,Mobile App,2019-06-13 11:01:19.677,15241,200.00,,,
1,PF1906-94413,2019-06-13 11:03:01.290,859,KCP164X,1-5241,2,2019-06-13 11:03:01.430,Mobile App,2019-06-13 11:03:01.383,15241,200.00,,,
1,PF1906-94414,2019-06-13 11:03:01.397,859,KCP164X,1-5241,2,2019-06-13 11:03:01.523,Mobile App,2019-06-13 11:03:01.490,15241,200.00,,,
1,PF1906-94415,2019-06-13 11:03:02.467,859,KBL408P,1-5241,2,2019-06-13 11:03:02.590,Mobile App,2019-06-13 11:03:02.560,15241,200.00,,,
1,PF1906-94416,2019-06-13 11:03:05.853,859,KBP354R,1-5241,2,2019-06-13 11:03:06.303,Mobile App,2019-06-13 11:03:06.180,15241,200.00,,,
1,PF1906-94418,2019-06-13 11:03:26.650,859,KBS463U,1-5241,2,2019-06-13 11:03:26.773,Mobile App,2019-06-13 11:03:26.740,15241,200.00,,,
1,PF1906-94419,2019-06-13 11:03:47.153,859,kcd151c,1-5241,2,2019-06-13 11:03:47.320,Mobile App,2019-06-13 11:03:47.243,15241,200.00,,,
1,PF1906-94420,2019-06-13 11:03:55.427,859,kbp534l,1-5241,2,2019-06-13 11:03:55.600,Mobile App,2019-06-13 11:03:55.520,15241,200.00,,,
1,PF1906-94421,2019-06-13 11:03:55.443,859,kbp534l,1-5241,2,2019-06-13 11:03:55.630,Mobile App,2019-06-13 11:03:55.550,15241,200.00,,,
1,PF1906-94422,2019-06-13 11:03:56.177,859,KBT858S,1-5241,2,2019-06-13 11:03:56.350,Mobile App,2019-06-13 11:03:56.270,15241,200.00,,,
1,PF1906-94423,2019-06-13 11:03:56.523,859,kbc418f,1-5241,2,2019-06-13 11:03:56.710,Mobile App,2019-06-13 11:03:56.633,15241,200.00,,,
1,PF1906-94424,2019-06-13 11:03:58.657,859,KBS893S,1-5241,2,2019-06-13 11:03:58.830,Mobile App,2019-06-13 11:03:58.750,15241,200.00,,,
1,PF1906-94425,2019-06-13 11:04:06.067,859,kav093X,1-5241,2,2019-06-13 11:04:06.240,Mobile App,2019-06-13 11:04:06.160,15241,200.00,,,
1,PF1906-94426,2019-06-13 11:06:11.280,859,KAT673U,1-5241,2,2019-06-13 11:06:11.407,Mobile App,2019-06-13 11:06:11.373,15241,200.00,,,
1,PF1906-94427,2019-06-13 11:08:53.183,859,KCU188A,1-5241,2,2019-06-13 11:08:53.403,Mobile App,2019-06-13 11:08:53.370,15241,200.00,,,
1,PF1906-94429,2019-06-13 11:10:28.510,859,kbh748n,1-5241,2,2019-06-13 11:10:28.650,Mobile App,2019-06-13 11:10:28.620,15241,200.00,,,
1,PF1906-94430,2019-06-13 11:10:32.193,859,KCJ965X,1-5241,2,2019-06-13 11:10:32.333,Mobile App,2019-06-13 11:10:32.287,15241,200.00,,,
1,PF1906-94431,2019-06-13 11:10:50.537,859,KBQ806E,1-5241,2,2019-06-13 11:10:50.660,Mobile App,2019-06-13 11:10:50.630,15241,200.00,,,
1,PF1906-94432,2019-06-13 11:10:56.927,859,KBN655D,1-5241,2,2019-06-13 11:10:57.067,Mobile App,2019-06-13 11:10:57.033,15241,200.00,,,
1,PF1906-94433,2019-06-13 11:11:12.810,859,KCD895W,1-5241,2,2019-06-13 11:11:12.983,Mobile App,2019-06-13 11:11:12.903,15241,200.00,,,
1,PF1906-94434,2019-06-13 11:11:59.993,859,Kay176r,1-5241,2,2019-06-13 11:12:00.117,Mobile App,2019-06-13 11:12:00.087,15241,200.00,,,
1,PF1906-94435,2019-06-13 11:12:00.650,859,KCQ632Y,1-5241,2,2019-06-13 11:12:00.790,Mobile App,2019-06-13 11:12:00.760,15241,200.00,,,
1,PF1906-94436,2019-06-13 11:12:15.130,859,kcq997g,1-5241,2,2019-06-13 11:12:15.257,Mobile App,2019-06-13 11:12:15.223,15241,200.00,,,
1,PF1906-94437,2019-06-13 11:13:32.623,859,KBR046Y,1-5241,2,2019-06-13 11:13:32.763,Mobile App,2019-06-13 11:13:32.720,15241,200.00,,,
1,PF1906-94438,2019-06-13 11:14:16.710,859,KBU553E,1-5241,2,2019-06-13 11:14:16.837,Mobile App,2019-06-13 11:14:16.807,15241,200.00,,,
1,PF1906-94439,2019-06-13 11:14:17.070,859,KAV820W,1-5241,2,2019-06-13 11:14:17.190,Mobile App,2019-06-13 11:14:17.160,15241,200.00,,,
1,PF1906-94440,2019-06-13 11:14:34.800,859,KCU135G,1-5241,2,2019-06-13 11:14:34.990,Mobile App,2019-06-13 11:14:34.957,15241,200.00,,,
1,PF1906-94441,2019-06-13 11:14:40.433,859,KAW755V,1-5241,2,2019-06-13 11:14:40.560,Mobile App,2019-06-13 11:14:40.527,15241,200.00,,,
1,PF1906-94442,2019-06-13 11:14:43.900,859,Kax576T,1-5241,2,2019-06-13 11:14:44.040,Mobile App,2019-06-13 11:14:44.010,15241,200.00,,,
1,PF1906-94443,2019-06-13 11:15:45.920,859,KAW270G,1-5241,2,2019-06-13 11:15:46.060,Mobile App,2019-06-13 11:15:46.013,15241,200.00,,,
1,PF1906-94444,2019-06-13 11:16:12.770,859,KAV319B,1-5241,2,2019-06-13 11:16:12.897,Mobile App,2019-06-13 11:16:12.863,15241,200.00,,,
1,PF1906-94445,2019-06-13 11:16:24.417,859,KBU803H,1-5241,2,2019-06-13 11:16:24.557,Mobile App,2019-06-13 11:16:24.510,15241,200.00,,,
1,PF1906-94446,2019-06-13 11:19:40.843,859,Kct079q,1-5241,2,2019-06-13 11:19:40.967,Mobile App,2019-06-13 11:19:40.937,15241,200.00,,,
1,PF1906-94447,2019-06-13 11:22:10.960,859,KCN708B,1-5241,2,2019-06-13 11:22:11.083,Mobile App,2019-06-13 11:22:11.053,15241,200.00,,,
1,PF1906-94448,2019-06-13 11:22:23.133,859,kpb552,1-5241,2,2019-06-13 11:22:23.257,Mobile App,2019-06-13 11:22:23.210,15241,200.00,,,
1,PF1906-94449,2019-06-13 11:22:39.930,859,Kan333w,1-5241,2,2019-06-13 11:22:40.057,Mobile App,2019-06-13 11:22:40.027,15241,200.00,,,
1,PF1906-94450,2019-06-13 11:22:55.273,859,KAV976B,1-5241,2,2019-06-13 11:22:55.413,Mobile App,2019-06-13 11:22:55.367,15241,200.00,,,
1,PF1906-94451,2019-06-13 11:23:25.257,859,Kct962t,1-5241,2,2019-06-13 11:23:25.400,Mobile App,2019-06-13 11:23:25.350,15241,200.00,,,
1,PF1906-94452,2019-06-13 11:23:27.030,859,kaw312q,1-5241,2,2019-06-13 11:23:27.157,Mobile App,2019-06-13 11:23:27.123,15241,200.00,,,
1,PF1906-94453,2019-06-13 11:25:36.943,859,kby563p,1-5241,2,2019-06-13 11:25:37.070,Mobile App,2019-06-13 11:25:37.037,15241,200.00,,,
1,PF1906-94454,2019-06-13 11:26:13.450,859,kbc487v,1-5241,2,2019-06-13 11:26:13.620,Mobile App,2019-06-13 11:26:13.540,15241,200.00,,,
1,PF1906-94455,2019-06-13 11:26:59.827,859,KCP302T,1-5241,2,2019-06-13 11:27:00.030,Mobile App,2019-06-13 11:26:59.950,15241,200.00,,,
1,PF1906-94456,2019-06-13 11:26:59.857,859,KCP302T,1-5241,2,2019-06-13 11:27:00.170,Mobile App,2019-06-13 11:27:00.013,15241,200.00,,,
